WGS84 UTM 29N
554201 4505899
7.87843112496 29.0425264938 113.5
19.1562404742 11.788940385 113.5
-14.7306237229 63.7681868197 113.7
30.4506464601 -5.59237403423 113.5
-13.419147947 114.020146761 114.1
-62.1449483245 82.6989672696 114.0
-7.31171366351 -53.3867627131 113.7
-31.5187107715 36.518917392 113.7
41.8693902902 29.6787850149 113.5
47.5082795129 -84.5920676524 113.5
98.3384286602 -56.7827396719 113.6
-37.6602565683 98.7050161976 113.7
8.02631196252 81.6288981671 113.8
11.2584007158 -81.3196257586 113.9
-18.5421857748 -36.1585244173 113.7
-26.0143329467 80.9703684421 113.6
3.9966388368 -70.5900774561 113.6
-2.04897170491 -71.7847698778 113.5
75.7718558257 -22.2403097209 113.5
-51.9608633779 -34.5070407391 114.0
-25.6193467157 106.78400097 113.7
30.6555006002 46.8835039446 113.6
13.7265612377 -32.6721200915 113.6
-3.25371662364 98.6768425358 113.5
-55.5265827221 -31.9910449861 113.6
-75.9553343148 -0.852121519856 113.3
-74.7031213671 49.9345281385 113.4
-36.5725140949 97.233827848 113.7
11.2439926218 -81.5805651741 113.6
25.0093585195 -49.966894458 113.5
87.0716551516 -39.5923772017 113.5
-3.4013899907 46.4322556099 113.5
-18.6841871059 -59.4557448411 113.5
-8.83451386448 1.87429824471 113.5
-64.5477729251 -18.1504934216 113.6
-42.6937966323 53.7709554555 113.7
-52.3874190381 15.6916581672 113.6
-29.8493364681 -18.8859341899 113.7
-62.1520398472 82.3121242663 113.8
19.3253719448 64.2870478528 113.5
82.7954777807 -95.0842780825 113.8
-63.7151802619 33.1035068464 113.6
-35.0941415953 -47.2735103788 113.4
64.325521215 -57.4715903243 113.7
2.42375072022 -15.3969667908 113.6
-85.0986609434 14.0457409928 113.7
-20.1290009269 19.1931628799 113.5
89.3900781906 -95.8550052512 113.8
64.3912977902 -4.81954435445 113.5
75.4529318173 -74.5760154044 113.8
62.0309218575 -92.4425292686 113.7
52.1341463521 -90.9899496082 113.8
53.043817554 -40.1776119573 113.7
-69.7980103714 66.2699453682 113.6
86.6215891782 -92.0833566356 113.8
-41.0927583997 -1.5519295847 113.6
41.7393754206 -22.8565078955 113.5
53.0996181687 12.5007877816 113.5
-76.5176727868 52.4519687397 113.6
36.2700797735 -67.2708898708 113.5
-13.4188772906 115.144181267 114.0
-54.0949469899 70.9099649154 113.6
